time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,F,R,Z,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
<<<<<<< HEAD
0.0,-0.0031803157180547714,-0.003343957243487239,0.012986638583242893,0.0,0.0,0.0,-1.683260440826416,-0.22922572493553162,-0.01880616322159767,0.0,-1.0,0.012951698154211044,54379.0,53679.0,55623.0,55883.0,0,0,0,0,55092.2578125,-685.0,-4250.0,-86.0
0.02,-0.0034142418298870325,-0.0026782567147165537,0.012912689708173275,0.0,0.0,0.0,-1.7121392488479614,-0.22470344603061676,-0.01675228774547577,0.0,-1.0,0.012872382067143917,54562.0,57242.0,55592.0,53768.0,0,0,0,0,55476.1796875,596.0,1508.0,-386.0
0.04,-0.003968925680965185,-0.003210649359971285,0.012833202257752419,0.0,0.0,0.0,-1.677820086479187,-0.18756486475467682,-0.016964251175522804,0.0,-1.0,0.01280474103987217,56265.0,59895.0,54603.0,52497.0,0,0,0,0,55979.34375,-5149.0,-8398.0,-969.0
0.06,-0.0018578992458060384,-0.003387977834790945,0.011990731582045555,0.0,0.0,0.0,-1.5919896364212036,-0.2716340720653534,-0.043732646852731705,0.0,-1.0,0.012024765834212303,51783.0,59917.0,58959.0,52545.0,0,0,0,0,55034.2421875,1311.0,-7916.0,-1172.0
0.08,-0.004159494768828154,-0.004060808103531599,0.012333046644926071,0.0,0.0,0.0,-1.170630931854248,-0.07279186695814133,-0.09662061184644699,0.0,-1.0,0.013157496228814125,55465.0,54507.0,51029.0,54279.0,0,0,0,0,52727.3046875,-6450.0,-1799.0,-1787.0
0.1,0.0014052640181034803,-0.007942350581288338,0.011778478510677814,0.0,0.0,0.0,-0.6853739619255066,0.3371298611164093,-0.16456736624240875,0.0,-1.0,0.0135237667709589,48340.0,57502.0,51058.0,45980.0,0,0,0,0,48775.765625,-3143.0,-8276.0,-2262.0
0.12,0.010011987760663033,-0.011759641580283642,0.016685739159584045,0.0,0.0,0.0,-0.3896338641643524,0.483198881149292,-0.2573503851890564,0.0,-1.0,0.020121581852436066,44258.0,48082.0,47036.0,47440.0,0,0,0,0,44396.5,2076.0,-3894.0,-2673.0
0.14,0.013968112878501415,-0.018630601465702057,0.024392979219555855,0.0,0.0,0.0,0.09952569752931595,0.798690676689148,-0.3828854560852051,0.0,-1.0,0.018945027142763138,41986.0,45606.0,44098.0,45362.0,0,0,0,0,42160.28515625,1346.0,-3692.0,-3192.0
0.16,0.015064213424921036,-0.019053857773542404,0.02425278164446354,0.0,0.0,0.0,-0.09131300449371338,1.2066991329193115,-0.5323631763458252,0.0,-1.0,0.03087651915848255,38328.0,44682.0,39950.0,38508.0,0,0,0,0,38543.11328125,1600.0,-2816.0,-3208.0
0.18,0.014469055458903313,-0.017138397321105003,0.037903327494859695,0.0,0.0,0.0,-0.6695682406425476,1.377292275428772,-0.6901060938835144,0.0,-1.0,0.04531512036919594,33402.0,42048.0,37586.0,35232.0,0,0,0,0,35651.06640625,452.0,-5470.0,-3409.0
0.2,0.015959138050675392,-0.025097966194152832,0.0528157502412796,0.0,0.0,0.0,-0.6273621916770935,1.5932477712631226,-0.8690808415412903,0.0,-1.0,0.05281806364655495,31993.0,41797.0,35869.0,34273.0,0,0,0,0,35011.203125,-2445.0,-5009.0,-3723.0
0.22,0.009539569728076458,-0.028359267860651016,0.060858700424432755,0.0,0.0,0.0,-0.7878068685531616,2.0958940982818604,-1.0285414457321167,0.0,-1.0,0.06896443665027618,32320.0,36624.0,32478.0,35438.0,0,0,0,0,33536.11328125,-183.0,-1994.0,-3557.0
0.24,0.006338784005492926,-0.03375314921140671,0.07729436457157135,0.0,0.0,0.0,-0.8984314203262329,2.3079004287719727,-1.2111703157424927,0.0,-1.0,0.08594843745231628,30225.0,36799.0,32617.0,32507.0,0,0,0,0,32550.796875,-344.0,-868.0,-3491.0
0.26,0.001212888048030436,-0.034202806651592255,0.09444567561149597,0.0,0.0,0.0,-1.2238799333572388,2.181913375854492,-1.3535069227218628,0.0,-1.0,0.10308760404586792,29781.0,32737.0,30707.0,34539.0,0,0,0,0,31641.5,2938.0,908.0,-3263.0
0.28,0.0018607117235660553,-0.031085746362805367,0.11307016015052795,0.0,0.0,0.0,-1.7294293642044067,1.5502549409866333,-1.4796624183654785,0.0,-1.0,0.12167099118232727,28544.0,34024.0,30872.0,32416.0,0,0,0,0,31310.123046875,-1175.0,-3741.0,-3160.0
0.3,-0.006360712926834822,-0.03316943347454071,0.1297563761472702,0.0,0.0,0.0,-2.0313124656677246,1.0700029134750366,-1.6066197156906128,0.0,-1.0,0.13820867240428925,28506.0,34426.0,30380.0,31384.0,0,0,0,0,31103.076171875,295.0,-767.0,-2861.0
0.32,-0.00795138068497181,-0.033816058188676834,0.14659850299358368,0.0,0.0,0.0,-2.268191337585449,0.363933801651001,-1.725407600402832,0.0,-1.0,0.1547231823205948,29199.0,31799.0,27375.0,31299.0,0,0,0,0,29894.931640625,-964.0,-513.0,-2443.0
0.34,-0.010489357635378838,-0.03464033454656601,0.16963550448417664,0.0,0.0,0.0,-2.3878674507141113,-0.3242172300815582,-1.8203392028808594,0.0,-1.0,0.17793051898479462,29286.0,31918.0,27496.0,30956.0,0,0,0,0,29973.138671875,-671.0,1169.0,-2068.0
0.36,-0.01275181770324707,-0.03555260971188545,0.1859457790851593,0.0,0.0,0.0,-2.4266319274902344,-1.0828421115875244,-1.8940562009811401,0.0,-1.0,0.1938406080007553,28946.0,31778.0,28320.0,31280.0,0,0,0,0,30225.728515625,-150.0,877.0,-1801.0
0.38,-0.014762564562261105,-0.03495240956544876,0.20152927935123444,0.0,0.0,0.0,-2.468031406402588,-1.8790054321289062,-1.9360291957855225,0.0,-1.0,0.20901834964752197,27152.0,31476.0,28504.0,29900.0,0,0,0,0,29435.26171875,-202.0,461.0,-1611.0
0.4,-0.01680091768503189,-0.03483176603913307,0.22302822768688202,0.0,0.0,0.0,-2.513758659362793,-2.6656835079193115,-1.9630000591278076,0.0,-1.0,0.23041072487831116,27488.0,31610.0,29068.0,30354.0,0,0,0,0,29870.57421875,-1621.0,-3217.0,-1367.0
0.42,-0.018578166142106056,-0.03432478383183479,0.23828314244747162,0.0,0.0,0.0,-2.5395984649658203,-3.3908729553222656,-1.9753336906433105,0.0,-1.0,0.24519751965999603,28460.0,32350.0,29052.0,30678.0,0,0,0,0,30437.28515625,-962.0,-493.0,-1273.0
0.44,-0.020053861662745476,-0.0341743528842926,0.2518709599971771,0.0,0.0,0.0,-2.5194034576416016,-3.95711088180542,-1.971855640411377,0.0,-1.0,0.2628094255924225,28498.0,32518.0,28628.0,30020.0,0,0,0,0,30219.298828125,-1142.0,-135.0,-1133.0
0.46,-0.020037254318594933,-0.03334462270140648,0.26922670006752014,0.0,0.0,0.0,-2.4524736404418945,-4.462000846862793,-1.9610306024551392,0.0,-1.0,0.27541160583496094,30727.0,31853.0,28159.0,31377.0,0,0,0,0,30843.52734375,-2570.0,-846.0,-1093.0
0.48,-0.020189357921481133,-0.032684076577425,0.28134649991989136,0.0,0.0,0.0,-2.3367831707000732,-4.9236602783203125,-1.9430766105651855,0.0,-1.0,0.28708434104919434,30023.0,33219.0,29543.0,31939.0,0,0,0,0,30340.142578125,-29.0,-3268.0,-878.0
0.5,-0.0196363665163517,-0.0319170206785202,0.29251447319984436,0.0,0.0,0.0,-2.1872525215148926,-5.355590343475342,-1.9216115474700928,0.0,-1.0,0.3045021891593933,28994.0,33422.0,29728.0,30544.0,0,0,0,0,30999.751953125,-1382.0,-2477.0,-804.0
0.52,-0.02116146869957447,-0.02978273667395115,0.3098371624946594,0.0,0.0,0.0,-2.0747623443603516,-5.598012924194336,-1.890539526939392,0.0,-1.0,0.31494981050491333,29350.0,34358.0,30894.0,30706.0,0,0,0,0,31655.248046875,-454.0,-283.0,-663.0
0.54,-0.021492382511496544,-0.028069037944078445,0.3198297619819641,0.0,0.0,0.0,-1.9433106184005737,-5.738807678222656,-1.8512643575668335,0.0,-1.0,0.3294580280780792,29959.0,32509.0,29973.0,31871.0,0,0,0,0,31078.478515625,364.0,451.0,-1124.0
0.56,-0.02108635939657688,-0.02674461528658867,0.3341637849807739,0.0,0.0,0.0,-1.7695536613464355,-5.848780632019043,-1.8026460409164429,0.0,-1.0,0.3386460244655609,30608.0,34128.0,30540.0,31728.0,0,0,0,0,31751.197265625,-675.0,-501.0,-1159.0
0.58,-0.01849990524351597,-0.02510661818087101,0.34289443492889404,0.0,0.0,0.0,-1.576794981956482,-6.000120162963867,-1.7516522407531738,0.0,-1.0,0.34697094559669495,30407.0,34011.0,30281.0,31325.0,0,0,0,0,31506.421875,-778.0,-2602.0,-1218.0
0.6,-0.017189495265483856,-0.023375988006591797,0.3558979332447052,0.0,0.0,0.0,-1.3422222137451172,-6.062366008758545,-1.707338571548462,0.0,-1.0,0.35982078313827515,30126.0,35162.0,31854.0,31414.0,0,0,0,0,32139.353515625,-309.0,-1186.0,-1077.0
0.62,-0.015548677183687687,-0.02142508327960968,0.3635575473308563,0.0,0.0,0.0,-1.1057243347167969,-6.032793998718262,-1.6687434911727905,0.0,-1.0,0.3670906722545624,30480.0,35016.0,32720.0,32920.0,0,0,0,0,32784.76953125,800.0,-385.0,-1153.0
0.64,-0.013737456873059273,-0.01989058405160904,0.37045085430145264,0.0,0.0,0.0,-0.8618306517601013,-5.964522361755371,-1.6262292861938477,0.0,-1.0,0.37361714243888855,32112.0,34292.0,32364.0,34852.0,0,0,0,0,33405.00390625,-990.0,-2054.0,-1120.0
