lighthouse.x_x,lighthouse.x_y,lighthouse.y_x,lighthouse.y_y,lighthouse.z_x,lighthouse.z_y,stateEstimate.x_x,stateEstimate.x_y,stateEstimate.y_x,stateEstimate.y_y,stateEstimate.z_x,stateEstimate.z_y
375686.,0.2644218504,375686.,-0.1417950392,375686.,0.0002353191,375686.,0.2638467550,375686.,-0.1415797174,375686.,0.0218694024
375696.,0.2644218504,375696.,-0.1417950392,375696.,0.0002353191,375696.,0.2635208964,375696.,-0.1419421881,375696.,0.0219548009
375706.,0.2644218504,375706.,-0.1417950392,375706.,0.0002353191,375706.,0.2635092139,375706.,-0.1416067332,375706.,0.0220413804
375766.,0.2644218504,375766.,-0.1417950392,375766.,0.0002353191,375766.,0.2638699412,375766.,-0.1415594667,375766.,0.0219725315
375796.,0.2643606663,375796.,-0.1418191642,375796.,0.000440456,375796.,0.2629619539,375796.,-0.1416398585,375796.,0.0223780721
375836.,0.2644727230,375836.,-0.1419035047,375836.,0.0002099127,375836.,0.2643420398,375836.,-0.1417530179,375836.,0.0222039875
375966.,0.2644163370,375966.,-0.1418600380,375966.,0.0002536103,375966.,0.2639929950,375966.,-0.1415174901,375966.,0.0205795206
375976.,0.2643625140,375976.,-0.1417224407,375976.,0.0004677325,375976.,0.2640001774,375976.,-0.1415039301,375976.,0.0205491763
375986.,0.2643625140,375986.,-0.1417224407,375986.,0.0004677325,375986.,0.2636578083,375986.,-0.141554907,375986.,0.019891277
376026.,0.2643780708,376026.,-0.1417277455,376026.,0.0006368458,376026.,0.2640957832,376026.,-0.1415559649,376026.,0.0194410179
376036.,0.2643780708,376036.,-0.1417277455,376036.,0.0006368458,376036.,0.2637708187,376036.,-0.1419189870,376036.,0.0193738416
376046.,0.2643780708,376046.,-0.1417277455,376046.,0.0006368458,376046.,0.2644637227,376046.,-0.1420330405,376046.,0.0206464473
376056.,0.2643780708,376056.,-0.1417277455,376056.,0.0006368458,376056.,0.2639490664,376056.,-0.1418844610,376056.,0.0206517503
376066.,0.2643780708,376066.,-0.1417277455,376066.,0.0006368458,376066.,0.2639379203,376066.,-0.1420891583,376066.,0.0206526108
376076.,0.2643780708,376076.,-0.1417277455,376076.,0.0006368458,376076.,0.2646667361,376076.,-0.1418502927,376076.,0.0206595603
376086.,0.2643780708,376086.,-0.1417277455,376086.,0.0006368458,376086.,0.2651916444,376086.,-0.1416529566,376086.,0.0204055142
376096.,0.2643780708,376096.,-0.1417277455,376096.,0.0006368458,376096.,0.2638929188,376096.,-0.1415493041,376096.,0.0204119999
376106.,0.2643780708,376106.,-0.1417277455,376106.,0.0006368458,376106.,0.2642761171,376106.,-0.1415089369,376106.,0.0204062797
376116.,0.2643780708,376116.,-0.1417277455,376116.,0.0006368458,376116.,0.2645450234,376116.,-0.1432232857,376116.,0.0204127319
376126.,0.2643780708,376126.,-0.1417277455,376126.,0.0006368458,376126.,0.2644683421,376126.,-0.1414871514,376126.,0.0214116871
376196.,0.2644358873,376196.,-0.1418975294,376196.,0.0001263469,376196.,0.2637828887,376196.,-0.1417499036,376196.,0.0204783492
376206.,0.2644358873,376206.,-0.1418975294,376206.,0.0001263469,376206.,0.2637661099,376206.,-0.1417394578,376206.,0.0204774085
376236.,0.2644358873,376236.,-0.1418975294,376236.,0.0001263469,376236.,0.2643493712,376236.,-0.1419109404,376236.,0.0207289644
376286.,0.2644677758,376286.,-0.14198111,376286.,0.0001245961,376286.,0.2638360262,376286.,-0.1417468488,376286.,0.020240251
376296.,0.2644677758,376296.,-0.14198111,376296.,0.0001245961,376296.,0.2638511956,376296.,-0.1421058029,376296.,0.0202282146
376317.,0.264436543,376317.,-0.1419681609,376317.,0.0001258478,376317.,0.2653288841,376317.,-0.1422049850,376317.,0.0217068996
376356.,0.2644668818,376356.,-0.1418934613,376356.,0.0002351850,376356.,0.2653174400,376356.,-0.1424681097,376356.,0.0222587381
376416.,0.2644140124,376416.,-0.1418536156,376416.,0.0002527237,376416.,0.2640749514,376416.,-0.1415773928,376416.,0.0219598003
376426.,0.2644140124,376426.,-0.1418536156,376426.,0.0002527237,376426.,0.2653241158,376426.,-0.1421703100,376426.,0.0220211912
376436.,0.2644140124,376436.,-0.1418536156,376436.,0.0002527237,376436.,0.2644250095,376436.,-0.1416994780,376436.,0.0227916148
376446.,0.2644140124,376446.,-0.1418536156,376446.,0.0002527237,376446.,0.2655252516,376446.,-0.1425013691,376446.,0.0228888355
376456.,0.2643316686,376456.,-0.1417043060,376456.,0.0005868897,376456.,0.2642377913,376456.,-0.1416785717,376456.,0.0223839488
376466.,0.2643316686,376466.,-0.1417043060,376466.,0.0005868897,376466.,0.2637307346,376466.,-0.1417280138,376466.,0.0224490277
376476.,0.2643316686,376476.,-0.1417043060,376476.,0.0005868897,376476.,0.2640957534,376476.,-0.1416795701,376476.,0.0225220416
376486.,0.2643316686,376486.,-0.1417043060,376486.,0.0005868897,376486.,0.2646312118,376486.,-0.1421677023,376486.,0.0227515697
376496.,0.2644442916,376496.,-0.1418845206,376496.,0.0001339391,376496.,0.2646194398,376496.,-0.1418119371,376496.,0.0228347946
376506.,0.2644442916,376506.,-0.1418845206,376506.,0.0001339391,376506.,0.2641028464,376506.,-0.141516462,376506.,0.0222950038
376516.,0.2644442916,376516.,-0.1418845206,376516.,0.0001339391,376516.,0.2640973628,376516.,-0.1416962147,376516.,0.0223513339
376526.,0.2644442916,376526.,-0.1418845206,376526.,0.0001339391,376526.,0.2641040087,376526.,-0.1415025592,376526.,0.0229950398
376536.,0.2644442916,376536.,-0.1418845206,376536.,0.0001339391,376536.,0.2642632425,376536.,-0.1414989382,376536.,0.0230870266
376546.,0.2644442916,376546.,-0.1418845206,376546.,0.0001339391,376546.,0.2638955712,376546.,-0.1411529481,376546.,0.0231799632
376556.,0.2644442916,376556.,-0.1418845206,376556.,0.0001339391,376556.,0.2639137208,376556.,-0.1415035874,376556.,0.0232780911
