lighthouse.x_x,lighthouse.x_y,lighthouse.y_x,lighthouse.y_y,lighthouse.z_x,lighthouse.z_y,stateEstimate.x_x,stateEstimate.x_y,stateEstimate.y_x,stateEstimate.y_y,stateEstimate.z_x,stateEstimate.z_y
70123.,0.,70123.,0.,70123.,0.,70123.,-0.1525240391,70123.,0.229897514,70123.,0.0183184016
70133.,0.,70133.,0.,70133.,0.,70133.,-0.1525200009,70133.,0.2293883562,70133.,0.0183198657
70143.,0.,70143.,0.,70143.,0.,70143.,-0.1522614062,70143.,0.2284104824,70143.,0.0177895594
70153.,0.,70153.,0.,70153.,0.,70153.,-0.1525286883,70153.,0.2296103537,70153.,0.0177619215
70163.,0.,70163.,0.,70163.,0.,70163.,-0.1527723968,70163.,0.2300624251,70163.,0.0177264605
70173.,0.,70173.,0.,70173.,0.,70173.,-0.1518222094,70173.,0.2300679684,70173.,0.0176963843
70183.,0.,70183.,0.,70183.,0.,70183.,-0.1522988975,70183.,0.2302919775,70183.,0.0181977041
70193.,0.,70193.,0.,70193.,0.,70193.,-0.1520489901,70193.,0.229821384,70193.,0.0181982275
70203.,0.,70203.,0.,70203.,0.,70203.,-0.1524950415,70203.,0.2293442488,70203.,0.0181994922
70213.,0.,70213.,0.,70213.,0.,70213.,-0.15251939,70213.,0.2302581519,70213.,0.0182017609
70223.,0.,70223.,0.,70223.,0.,70223.,-0.1524766982,70223.,0.2284092754,70223.,0.0182206314
70233.,0.,70233.,0.,70233.,0.,70233.,-0.1529289633,70233.,0.2284166366,70233.,0.0185436942
70243.,0.,70243.,0.,70243.,0.,70243.,-0.1529574096,70243.,0.2288666517,70243.,0.0185674801
70253.,0.,70253.,0.,70253.,0.,70253.,-0.1529481858,70253.,0.2291106433,70253.,0.0185886789
70263.,0.,70263.,0.,70263.,0.,70263.,-0.1527236253,70263.,0.2288783342,70263.,0.0186111629
70273.,0.,70273.,0.,70273.,0.,70273.,-0.1527236104,70273.,0.2291227877,70273.,0.0199975558
70283.,0.,70283.,0.,70283.,0.,70283.,-0.1516069025,70283.,0.2298191488,70283.,0.0200951193
70293.,0.,70293.,0.,70293.,0.,70293.,-0.1518298686,70293.,0.2284589708,70293.,0.0202030409
70303.,0.,70303.,0.,70303.,0.,70303.,-0.1524969637,70303.,0.2295813411,70303.,0.0203174949
70313.,0.,70313.,0.,70313.,0.,70313.,-0.1525035352,70313.,0.2297955155,70313.,0.0202465933
70323.,0.,70323.,0.,70323.,0.,70323.,-0.1516318172,70323.,0.2298059016,70323.,0.0203351397
70333.,0.,70333.,0.,70333.,0.,70333.,-0.1520642340,70333.,0.2302534729,70333.,0.0204287544
70343.,0.,70343.,0.,70343.,0.,70343.,-0.1522884965,70343.,0.2297963351,70343.,0.0205293559
70353.,0.,70353.,0.,70353.,0.,70353.,-0.1520527601,70353.,0.2293742746,70353.,0.0206270386
70363.,0.,70363.,0.,70363.,0.,70363.,-0.1526974589,70363.,0.2293719798,70363.,0.0208787452
70373.,0.,70373.,0.,70373.,0.,70373.,-0.1520690471,70373.,0.2300288528,70373.,0.0209903792
70383.,0.,70383.,0.,70383.,0.,70383.,-0.1520374715,70383.,0.2300457060,70383.,0.0210998561
70393.,0.,70393.,0.,70393.,0.,70393.,-0.1525103599,70393.,0.2300283462,70393.,0.0212133545
70403.,0.,70403.,0.,70403.,0.,70403.,-0.1524889916,70403.,0.2293442935,70403.,0.0207921248
70413.,0.,70413.,0.,70413.,0.,70413.,-0.1522454172,70413.,0.2289027572,70413.,0.0208747257
70423.,0.,70423.,0.,70423.,0.,70423.,-0.1527369767,70423.,0.2300124913,70423.,0.0209706351
70433.,0.,70433.,0.,70433.,0.,70433.,-0.1524815857,70433.,0.2293599844,70433.,0.0210609939
70443.,0.,70443.,0.,70443.,0.,70443.,-0.1524743438,70443.,0.229329139,70443.,0.0211502537
70453.,0.,70453.,0.,70453.,0.,70453.,-0.152955249,70453.,0.2293210328,70453.,0.0211804882
70463.,0.,70463.,0.,70463.,0.,70463.,-0.1527047604,70463.,0.2302917689,70463.,0.0212724935
70473.,0.,70473.,0.,70473.,0.,70473.,-0.1527354717,70473.,0.2297955304,70473.,0.0213683378
70483.,0.,70483.,0.,70483.,0.,70483.,-0.1527188718,70483.,0.2300442308,70483.,0.0214629378
70493.,0.,70493.,0.,70493.,0.,70493.,-0.1522573382,70493.,0.2298078984,70493.,0.0205860846
70503.,0.,70503.,0.,70503.,0.,70503.,-0.1522367001,70503.,0.2297991663,70503.,0.0206348095
70513.,0.,70513.,0.,70513.,0.,70513.,-0.1521968544,70513.,0.2288712114,70513.,0.0206848942
70523.,0.,70523.,0.,70523.,0.,70523.,-0.1522358209,70523.,0.2290937603,70523.,0.0207399521
70533.,0.,70533.,0.,70533.,0.,70533.,-0.1524832249,70533.,0.2305089980,70533.,0.0204872377
70543.,0.,70543.,0.,70543.,0.,70543.,-0.1512548029,70543.,0.2269756943,70543.,0.0205391534
70553.,0.,70553.,0.,70553.,0.,70553.,-0.1527350843,70553.,0.2302423269,70553.,0.0206628367
70563.,0.,70563.,0.,70563.,0.,70563.,-0.1517797559,70563.,0.2300418317,70563.,0.0207108110
70573.,0.,70573.,0.,70573.,0.,70573.,-0.1522551179,70573.,0.2302528471,70573.,0.0207557213
70583.,0.,70583.,0.,70583.,0.,70583.,-0.1524615437,70583.,0.2288483530,70583.,0.0193017777
70613.,0.,70613.,0.,70613.,0.,70613.,-0.1524418294,70613.,0.2284152061,70613.,0.0192142986
70623.,0.,70623.,0.,70623.,0.,70623.,-0.15246135,70623.,0.2293223143,70623.,0.0191094372
70653.,0.,70653.,0.,70653.,0.,70653.,-0.1520083547,70653.,0.2293287218,70653.,0.0190186221
70683.,0.,70683.,0.,70683.,0.,70683.,-0.1526835859,70683.,0.2302143574,70683.,0.0185307935
70693.,0.,70693.,0.,70693.,0.,70693.,-0.1526978761,70693.,0.2302211821,70693.,0.018481141
70703.,0.,70703.,0.,70703.,0.,70703.,-0.1524518430,70703.,0.2290564179,70703.,0.0184419136
70713.,0.,70713.,0.,70713.,0.,70713.,-0.1522410363,70713.,0.2299872786,70713.,0.0186281316
70723.,0.,70723.,0.,70723.,0.,70723.,-0.1526903361,70723.,0.2297579944,70723.,0.0186004452
70733.,0.,70733.,0.,70733.,0.,70733.,-0.1522375345,70733.,0.2288471013,70733.,0.0185730066
70743.,0.,70743.,0.,70743.,0.,70743.,-0.1522496641,70743.,0.2297658920,70743.,0.0185528174
70753.,0.,70753.,0.,70753.,0.,70753.,-0.1522526741,70753.,0.2299830467,70753.,0.0183171909
70763.,0.,70763.,0.,70763.,0.,70763.,-0.1522482634,70763.,0.2299713343,70763.,0.0182840228
70773.,0.,70773.,0.,70773.,0.,70773.,-0.1524576098,70773.,0.2294332087,70773.,0.0182551369
70783.,0.,70783.,0.,70783.,0.,70783.,-0.1529710591,70783.,0.2298847139,70783.,0.0182266403
70823.,0.,70823.,0.,70823.,0.,70823.,-0.1524928212,70823.,0.2301157564,70823.,0.0180597417
70853.,0.,70853.,0.,70853.,0.,70853.,-0.1518620104,70853.,0.2298331559,70853.,0.0167088285
70863.,0.,70863.,0.,70863.,0.,70863.,-0.151595071,70863.,0.2298295945,70863.,0.0165927652
70873.,0.,70873.,0.,70873.,0.,70873.,-0.1527034789,70873.,0.2286629081,70873.,0.0164920334
70883.,0.,70883.,0.,70883.,0.,70883.,-0.1527438015,70883.,0.2298221737,70883.,0.0185097419
70903.,0.,70903.,0.,70903.,0.,70903.,-0.1533667594,70903.,0.224472791,70903.,0.018525837
70913.,0.,70913.,0.,70913.,0.,70913.,-0.1534179598,70913.,0.2264437079,70913.,0.0185776111
70923.,0.,70923.,0.,70923.,0.,70923.,-0.1527219415,70923.,0.2244738787,70923.,0.0185674261
70933.,0.,70933.,0.,70933.,0.,70933.,-0.1522939652,70933.,0.2267329991,70933.,0.0191644039
70943.,0.,70943.,0.,70943.,0.,70943.,-0.1520314515,70943.,0.2256291509,70943.,0.0191865936
70953.,0.,70953.,0.,70953.,0.,70953.,-0.1524748355,70953.,0.2249851674,70953.,0.0191997718
70963.,0.,70963.,0.,70963.,0.,70963.,-0.1522747427,70963.,0.2249827236,70963.,0.0192157812
71023.,0.,71023.,0.,71023.,0.,71023.,-0.1518334299,71023.,0.2249021828,71023.,0.0197877605
71033.,0.,71033.,0.,71033.,0.,71033.,-0.1524432749,71033.,0.2252609283,71033.,0.0198284648
71083.,0.,71083.,0.,71083.,0.,71083.,-0.1515522003,71083.,0.22697258,71083.,0.0214785356
71183.,0.,71183.,0.,71183.,0.,71183.,-0.1526836306,71183.,0.2191443294,71183.,0.0209458172
71213.,0.,71213.,0.,71213.,0.,71213.,-0.1530105919,71213.,0.2231374234,71213.,0.0135855451
71283.,0.,71283.,0.,71283.,0.,71283.,-0.1420368552,71283.,0.2137813270,71283.,0.0092291525
71313.,0.,71313.,0.,71313.,0.,71313.,-0.1425839663,71313.,0.2070168406,71313.,0.0145942550
71343.,0.,71343.,0.,71343.,0.,71343.,-0.1433831751,71343.,0.2083712667,71343.,0.0188598242
71353.,0.,71353.,0.,71353.,0.,71353.,-0.1415333748,71353.,0.2069934756,71353.,0.0219077282
71413.,0.,71413.,0.,71413.,0.,71413.,-0.1393310726,71413.,0.2052063495,71413.,0.0574004687
71433.,0.,71433.,0.,71433.,0.,71433.,-0.1387874335,71433.,0.2022912353,71433.,0.0680566505
71473.,0.,71473.,0.,71473.,0.,71473.,-0.1387621760,71473.,0.2001136541,71473.,0.0998620614
71483.,0.,71483.,0.,71483.,0.,71483.,-0.137525335,71483.,0.1993611753,71483.,0.106061399
71493.,0.,71493.,0.,71493.,0.,71493.,-0.1382677704,71493.,0.1996401697,71493.,0.1123036817
71503.,0.,71503.,0.,71503.,0.,71503.,-0.1381156445,71503.,0.2013850510,71503.,0.1227085143
71513.,0.,71513.,0.,71513.,0.,71513.,-0.1392218769,71513.,0.2007913738,71513.,0.1290862411
71523.,0.,71523.,0.,71523.,0.,71523.,-0.1389901340,71523.,0.2011464685,71523.,0.1354200542
71533.,0.,71533.,0.,71533.,0.,71533.,-0.1389414668,71533.,0.2016431242,71533.,0.1416876763
71543.,0.,71543.,0.,71543.,0.,71543.,-0.1384654045,71543.,0.2040648907,71543.,0.1494777948
71553.,0.,71553.,0.,71553.,0.,71553.,-0.1391089261,71553.,0.2045497447,71553.,0.1556818336
71633.,0.,71633.,0.,71633.,0.,71633.,-0.1403830647,71633.,0.2031110525,71633.,0.2015783787
71643.,0.,71643.,0.,71643.,0.,71643.,-0.1410571337,71643.,0.2037507892,71643.,0.2068431526
71703.,0.,71703.,0.,71703.,0.,71703.,-0.1451962739,71703.,0.2032677829,71703.,0.2374115884
71783.,0.,71783.,0.,71783.,0.,71783.,-0.1534724534,71783.,0.2083324492,71783.,0.272936821
71793.,0.,71793.,0.,71793.,0.,71793.,-0.1538945884,71793.,0.2087632567,71793.,0.2770876288
71803.,0.,71803.,0.,71803.,0.,71803.,-0.1554823667,71803.,0.2100994289,71803.,0.2811556756
71813.,0.,71813.,0.,71813.,0.,71813.,-0.1560924500,71813.,0.2102568597,71813.,0.2855292559
71823.,0.,71823.,0.,71823.,0.,71823.,-0.1581943780,71823.,0.2113852054,71823.,0.2895017862
71833.,0.,71833.,0.,71833.,0.,71833.,-0.1591172218,71833.,0.212037921,71833.,0.2934221923
71843.,0.,71843.,0.,71843.,0.,71843.,-0.1610884219,71843.,0.2132615894,71843.,0.2972689867
71853.,0.,71853.,0.,71853.,0.,71853.,-0.1614874899,71853.,0.2134733349,71853.,0.2998283505
71863.,0.,71863.,0.,71863.,0.,71863.,-0.1630203277,71863.,0.214813754,71863.,0.3034985662
71873.,0.,71873.,0.,71873.,0.,71873.,-0.1636524647,71873.,0.2155724764,71873.,0.3071230054
71883.,0.,71883.,0.,71883.,0.,71883.,-0.1646056622,71883.,0.2168320417,71883.,0.3106918335
71893.,0.,71893.,0.,71893.,0.,71893.,-0.1658194214,71893.,0.2175401896,71893.,0.3142156601
71903.,0.,71903.,0.,71903.,0.,71903.,-0.1673234552,71903.,0.2191630006,71903.,0.3176046312
71913.,0.,71913.,0.,71913.,0.,71913.,-0.1679675281,71913.,0.2199690491,71913.,0.3210407197
71923.,0.,71923.,0.,71923.,0.,71923.,-0.1689961106,71923.,0.2210449278,71923.,0.3244331181
71933.,0.,71933.,0.,71933.,0.,71933.,-0.1697084308,71933.,0.221781835,71933.,0.3277893662
71943.,0.,71943.,0.,71943.,0.,71943.,-0.1713479161,71943.,0.2234344929,71943.,0.3315823674
71953.,0.,71953.,0.,71953.,0.,71953.,-0.172028482,71953.,0.2242075503,71953.,0.3348858953
71963.,0.,71963.,0.,71963.,0.,71963.,-0.1724061221,71963.,0.2249467224,71963.,0.3381428421
71973.,0.,71973.,0.,71973.,0.,71973.,-0.1737340689,71973.,0.2257645875,71973.,0.3413479328
71983.,0.,71983.,0.,71983.,0.,71983.,-0.1744249314,71983.,0.2269935161,71983.,0.3444982469
71993.,0.,71993.,0.,71993.,0.,71993.,-0.1755699962,71993.,0.2288286835,71993.,0.348634094
72003.,0.,72003.,0.,72003.,0.,72003.,-0.1763653904,72003.,0.2292103469,72003.,0.3517412543
72013.,0.,72013.,0.,72013.,0.,72013.,-0.1778095514,72013.,0.2309657782,72013.,0.354803443
72023.,0.,72023.,0.,72023.,0.,72023.,-0.1786085963,72023.,0.2315941155,72023.,0.3578268588
72033.,0.,72033.,0.,72033.,0.,72033.,-0.1793670803,72033.,0.2323871106,72033.,0.3620624244
72043.,0.,72043.,0.,72043.,0.,72043.,-0.1801562756,72043.,0.2339528650,72043.,0.3650358915
72053.,0.,72053.,0.,72053.,0.,72053.,-0.1809523255,72053.,0.234800905,72053.,0.3679580092
72063.,0.,72063.,0.,72063.,0.,72063.,-0.1813748926,72063.,0.235679552,72063.,0.3708307743
72073.,0.,72073.,0.,72073.,0.,72073.,-0.1826340109,72073.,0.2372695357,72073.,0.3729376495
72083.,0.,72083.,0.,72083.,0.,72083.,-0.1830228269,72083.,0.2378550023,72083.,0.3756699860
72093.,0.,72093.,0.,72093.,0.,72093.,-0.1834848225,72093.,0.2387110293,72093.,0.3783498108
72103.,0.,72103.,0.,72103.,0.,72103.,-0.1839085668,72103.,0.2396276295,72103.,0.3809781075
72113.,0.,72113.,0.,72113.,0.,72113.,-0.1842864007,72113.,0.2405794412,72113.,0.3835526407
72123.,0.,72123.,0.,72123.,0.,72123.,-0.1842869967,72123.,0.2410735786,72123.,0.383784622
72133.,0.,72133.,0.,72133.,0.,72133.,-0.1851830333,72133.,0.2422791719,72133.,0.3861406744
72143.,0.,72143.,0.,72143.,0.,72143.,-0.1860461980,72143.,0.2426683605,72143.,0.3884462118
72153.,0.,72153.,0.,72153.,0.,72153.,-0.1860888153,72153.,0.2435886562,72153.,0.3907023370
72163.,0.,72163.,0.,72163.,0.,72163.,-0.1860117763,72163.,0.2440579385,72163.,0.392636776
72173.,0.,72173.,0.,72173.,0.,72173.,-0.1864521950,72173.,0.2450581491,72173.,0.3948026299
72183.,0.,72183.,0.,72183.,0.,72183.,-0.1869210899,72183.,0.2455969453,72183.,0.3969419301
72193.,0.,72193.,0.,72193.,0.,72193.,-0.1869179606,72193.,0.2460819781,72193.,0.3990549445
72203.,0.,72203.,0.,72203.,0.,72203.,-0.1879500896,72203.,0.2475083023,72203.,0.3999034762
72213.,0.,72213.,0.,72213.,0.,72213.,-0.1878796071,72213.,0.2479010820,72213.,0.4019063711
72223.,0.,72223.,0.,72223.,0.,72223.,-0.1872457266,72223.,0.2489629686,72223.,0.4038884044
72233.,0.,72233.,0.,72233.,0.,72233.,-0.1877110302,72233.,0.2495106459,72233.,0.4058560729
72243.,0.,72243.,0.,72243.,0.,72243.,-0.1882148534,72243.,0.250600189,72243.,0.4078142643
72253.,0.,72253.,0.,72253.,0.,72253.,-0.1879941970,72253.,0.2508961558,72253.,0.4102337658
72263.,0.,72263.,0.,72263.,0.,72263.,-0.1880238652,72263.,0.2516147494,72263.,0.412188828
72273.,0.,72273.,0.,72273.,0.,72273.,-0.1890672892,72273.,0.2522080839,72273.,0.4141368866
72283.,0.,72283.,0.,72283.,0.,72283.,-0.1890495270,72283.,0.2528218627,72283.,0.4160803556
72293.,0.,72293.,0.,72293.,0.,72293.,-0.1879595220,72293.,0.2527977526,72293.,0.4191589653
72303.,0.,72303.,0.,72303.,0.,72303.,-0.1891175956,72303.,0.2527602911,72303.,0.4211528003
72313.,0.,72313.,0.,72313.,0.,72313.,-0.1886283755,72313.,0.2533382177,72313.,0.4231358767
72323.,0.,72323.,0.,72323.,0.,72323.,-0.1893328130,72323.,0.2534019649,72323.,0.4251110256
72333.,0.,72333.,0.,72333.,0.,72333.,-0.1882672161,72333.,0.2533112466,72333.,0.4270679355
72343.,0.,72343.,0.,72343.,0.,72343.,-0.1883129179,72343.,0.2545135021,72343.,0.4285687804
72353.,0.,72353.,0.,72353.,0.,72353.,-0.188355431,72353.,0.2540123463,72353.,0.4304670095
72363.,0.,72363.,0.,72363.,0.,72363.,-0.1878832132,72363.,0.2546702325,72363.,0.4323464334
72383.,0.,72383.,0.,72383.,0.,72383.,-0.1879449189,72383.,0.2549274862,72383.,0.4368700683
72393.,0.,72393.,0.,72393.,0.,72393.,-0.1881688535,72393.,0.2524443865,72393.,0.4387068748
72403.,0.,72403.,0.,72403.,0.,72403.,-0.1876296103,72403.,0.2526082695,72403.,0.4405175745
72413.,0.,72413.,0.,72413.,0.,72413.,-0.1884077787,72413.,0.2559294105,72413.,0.4423094094
72423.,0.,72423.,0.,72423.,0.,72423.,-0.1884931028,72423.,0.2554796934,72423.,0.4436382949
72433.,0.,72433.,0.,72433.,0.,72433.,-0.1881779730,72433.,0.2530815899,72433.,0.445332408
72443.,0.,72443.,0.,72443.,0.,72443.,-0.1910232455,72443.,0.257904619,72443.,0.4470045269
72453.,0.,72453.,0.,72453.,0.,72453.,-0.1923268735,72453.,0.2580620050,72453.,0.448640883
72463.,0.,72463.,0.,72463.,0.,72463.,-0.1916706264,72463.,0.2583090961,72463.,0.4502439797
72473.,0.,72473.,0.,72473.,0.,72473.,-0.1911612451,72473.,0.2581254244,72473.,0.4513012469
72483.,0.,72483.,0.,72483.,0.,72483.,-0.1906223297,72483.,0.2579109073,72483.,0.4528045058
72493.,0.,72493.,0.,72493.,0.,72493.,-0.1900678277,72493.,0.2576750219,72493.,0.4542753100
72503.,0.,72503.,0.,72503.,0.,72503.,-0.1897858083,72503.,0.2567632794,72503.,0.4557207227
72513.,0.,72513.,0.,72513.,0.,72513.,-0.1889068633,72513.,0.2566710711,72513.,0.4584640265
72523.,0.,72523.,0.,72523.,0.,72523.,-0.1883035600,72523.,0.2563619614,72523.,0.4599393606
72533.,0.,72533.,0.,72533.,0.,72533.,-0.1875308901,72533.,0.2565149069,72533.,0.4613920152
72543.,0.,72543.,0.,72543.,0.,72543.,-0.1867348105,72543.,0.2551496625,72543.,0.4628228843
72553.,0.,72553.,0.,72553.,0.,72553.,-0.1860785931,72553.,0.2547688782,72553.,0.464237988
72563.,0.,72563.,0.,72563.,0.,72563.,-0.1855463535,72563.,0.2548389137,72563.,0.4655333161
72573.,0.,72573.,0.,72573.,0.,72573.,-0.1848643124,72573.,0.2544313669,72573.,0.466904372
72583.,0.,72583.,0.,72583.,0.,72583.,-0.1849654913,72583.,0.2538482547,72583.,0.4682576656
72593.,0.,72593.,0.,72593.,0.,72593.,-0.1843459457,72593.,0.2531407773,72593.,0.4695924520
72603.,0.,72603.,0.,72603.,0.,72603.,-0.1826420426,72603.,0.2509447932,72603.,0.4714811146
72613.,0.,72613.,0.,72613.,0.,72613.,-0.1819087118,72613.,0.2504262030,72613.,0.4728099704
72623.,0.,72623.,0.,72623.,0.,72623.,-0.1822004616,72623.,0.2515496016,72623.,0.4741240144
72633.,0.,72633.,0.,72633.,0.,72633.,-0.1824474782,72633.,0.2493688762,72633.,0.4754108787
72653.,0.,72653.,0.,72653.,0.,72653.,-0.181228146,72653.,0.2511135042,72653.,0.4767757654
72703.,0.,72703.,0.,72703.,0.,72703.,-0.1852911264,72703.,0.2513713837,72703.,0.4831182063
72763.,0.,72763.,0.,72763.,0.,72763.,-0.1778301001,72763.,0.2463420928,72763.,0.4884807169
72803.,0.,72803.,0.,72803.,0.,72803.,-0.17369923,72803.,0.2422813177,72803.,0.4911504388
72813.,0.,72813.,0.,72813.,0.,72813.,-0.1726489961,72813.,0.2423873395,72813.,0.4920152426
72823.,0.,72823.,0.,72823.,0.,72823.,-0.1731303781,72823.,0.2438828945,72823.,0.4920713603
72833.,0.,72833.,0.,72833.,0.,72833.,-0.1734832674,72833.,0.2434921861,72833.,0.4928857684
72873.,0.,72873.,0.,72873.,0.,72873.,-0.1725225896,72873.,0.2388169169,72873.,0.4951592982
72913.,0.,72913.,0.,72913.,0.,72913.,-0.1683999896,72913.,0.2370014936,72913.,0.4992339611
72943.,0.,72943.,0.,72943.,0.,72943.,-0.1680761874,72943.,0.2358596772,72943.,0.5017626882
72953.,0.,72953.,0.,72953.,0.,72953.,-0.1671504676,72953.,0.2362781465,72953.,0.5027100444
73003.,0.,73003.,0.,73003.,0.,73003.,-0.163658008,73003.,0.2313914448,73003.,0.5069400072
73013.,0.,73013.,0.,73013.,0.,73013.,-0.1627598405,73013.,0.2318123728,73013.,0.5077838898
73053.,0.,73053.,0.,73053.,0.,73053.,-0.1613945812,73053.,0.2307785153,73053.,0.5109005570
