time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
0.0,-0.33094319701194763,-0.0029927422292530537,-0.002434826921671629,0.0,0.0,0.0,-1.5347031354904175,0.3080334961414337,-0.870989203453064,42453.0,63575.0,65535.0,42921.0,0,0,0,0,55813.97265625,-123.0,-20891.0,-660.0
0.02,-0.331010639667511,-0.0027810996398329735,-0.00258351257070899,0.0,0.0,0.0,-1.5453872680664062,0.307977557182312,-0.8660728335380554,49569.0,65535.0,62127.0,44837.0,0,0,0,0,56251.72265625,-6392.0,-16478.0,-627.0
0.04,-0.3311701714992523,-0.002764824777841568,-0.0027924312744289637,0.0,0.0,0.0,-1.4668421745300293,0.2879961133003235,-0.8183066844940186,34039.0,57101.0,65535.0,45309.0,0,0,0,0,56243.66796875,1512.0,-7854.0,-664.0
0.06,-0.33034762740135193,-0.003082921029999852,-0.0020718728192150593,0.0,0.0,0.0,-1.1070939302444458,-0.08734548836946487,-0.833652138710022,62418.0,56590.0,51066.0,55118.0,0,0,0,0,55881.8984375,-9632.0,4368.0,-504.0
0.08,-0.3301183879375458,-0.003349629230797291,-0.0014838747447356582,0.0,0.0,0.0,-0.9959840178489685,-0.9628307819366455,-0.7945203185081482,65535.0,53177.0,42243.0,57553.0,0,0,0,0,53795.65234375,-6277.0,4728.0,-663.0
0.1,-0.328041136264801,-0.004318913910537958,0.001451821648515761,0.0,0.0,0.0,-0.3285193145275116,-3.265719175338745,-0.8120718002319336,53228.0,56144.0,50296.0,49728.0,0,0,0,0,50799.8125,-473.0,1357.0,-872.0
0.12,-0.32601693272590637,-0.0039704181253910065,0.005595048423856497,0.0,0.0,0.0,0.2874503433704376,-5.9256815910339355,-0.8190760612487793,47640.0,47792.0,47704.0,54432.0,0,0,0,0,47677.703125,2905.0,-146.0,-2495.0
0.14,-0.3248847723007202,-0.004683336243033409,0.012219848111271858,0.0,0.0,0.0,0.5256768465042114,-7.6342926025390625,-0.9488867521286011,41959.0,48631.0,47413.0,46293.0,0,0,0,0,44540.109375,3186.0,-6653.0,-1234.0
0.16,-0.32498329877853394,-0.004514608532190323,0.021214473992586136,0.0,0.0,0.0,0.04988504573702812,-8.71863842010498,-1.0400511026382446,40540.0,46844.0,42968.0,42120.0,0,0,0,0,41841.296875,-1574.0,11.0,-1329.0
0.18,-0.3231513798236847,-0.005932450760155916,0.03202991932630539,0.0,0.0,0.0,-0.16090728342533112,-9.314591407775879,-1.1103618144989014,39472.0,42640.0,39042.0,41430.0,0,0,0,0,39646.12890625,-1244.0,-1337.0,-1382.0
0.2,-0.321008563041687,-0.00667280238121748,0.04511226713657379,0.0,0.0,0.0,-0.3049306869506836,-9.795442581176758,-1.1923619508743286,37569.0,41497.0,37191.0,38807.0,0,0,0,0,38277.08203125,-785.0,-1842.0,-1559.0
0.22,-0.3169962465763092,-0.007230002898722887,0.05849239602684975,0.0,0.0,0.0,-0.44531989097595215,-10.29952335357666,-1.2887214422225952,35019.0,40799.0,36367.0,37191.0,0,0,0,0,37012.37890625,-3250.0,-2722.0,-1648.0
0.24,-0.3128986358642578,-0.01104416511952877,0.07373597472906113,0.0,0.0,0.0,-0.1438329964876175,-10.582803726196289,-1.3509118556976318,34753.0,40993.0,35093.0,35701.0,0,0,0,0,36355.30078125,-3045.0,-1527.0,-1748.0
0.26,-0.3035794198513031,-0.008418404497206211,0.0884069949388504,0.0,0.0,0.0,-0.4538097083568573,-10.764164924621582,-1.5354392528533936,34302.0,38714.0,33998.0,36590.0,0,0,0,0,35739.0625,-1223.0,-1977.0,-1817.0
0.28,-0.2963368594646454,-0.010420641861855984,0.10570421069860458,0.0,0.0,0.0,-0.45862528681755066,-10.611038208007812,-1.6241925954818726,33714.0,39404.0,33908.0,35658.0,0,0,0,0,35691.11328125,-1292.0,-3657.0,-1912.0
0.3,-0.28913792967796326,-0.012398827821016312,0.12028062343597412,0.0,0.0,0.0,-0.5851110816001892,-10.310208320617676,-1.7096439599990845,33296.0,39410.0,34690.0,36016.0,0,0,0,0,35413.71875,-1385.0,-1326.0,-1946.0
0.32,-0.2798466086387634,-0.0139232836663723,0.1362701952457428,0.0,0.0,0.0,-0.7818397879600525,-9.881158828735352,-1.8003411293029785,32780.0,37880.0,34682.0,37210.0,0,0,0,0,35763.9609375,-1369.0,-3553.0,-1921.0
0.34,-0.26659733057022095,-0.011185250245034695,0.1457558274269104,0.0,0.0,0.0,-1.2271239757537842,-9.485261917114258,-1.936223030090332,33115.0,38513.0,36479.0,38881.0,0,0,0,0,37007.4921875,-173.0,-1710.0,-1979.0
0.36,-0.2552963197231293,-0.010833272710442543,0.1557609885931015,0.0,0.0,0.0,-1.5028135776519775,-8.769420623779297,-2.022585868835449,34371.0,41793.0,36515.0,37917.0,0,0,0,0,37905.3515625,-263.0,-2048.0,-1947.0
0.38,-0.24317578971385956,-0.012569638900458813,0.1672167330980301,0.0,0.0,0.0,-1.5974388122558594,-7.902374744415283,-2.071739912033081,36040.0,42924.0,36220.0,37328.0,0,0,0,0,38409.3046875,-1657.0,-2375.0,-1905.0
0.4,-0.2323702871799469,-0.013665014877915382,0.17655117809772491,0.0,0.0,0.0,-1.6020357608795166,-6.815711975097656,-2.0897228717803955,36334.0,43630.0,37360.0,37936.0,0,0,0,0,39032.35546875,-2946.0,-4202.0,-1936.0
0.42,-0.22085058689117432,-0.014503974467515945,0.18605829775333405,0.0,0.0,0.0,-1.5139505863189697,-5.662973403930664,-2.103235960006714,35306.0,44024.0,39370.0,37956.0,0,0,0,0,39345.01171875,-893.0,-3488.0,-1928.0
0.44,-0.20916593074798584,-0.015298324637115002,0.19504186511039734,0.0,0.0,0.0,-1.412736415863037,-4.4527387619018555,-2.1081652641296387,36646.0,44472.0,38488.0,38658.0,0,0,0,0,39627.21875,-1099.0,-4012.0,-2033.0
0.46,-0.19413237273693085,-0.01360948383808136,0.20404410362243652,0.0,0.0,0.0,-1.4763699769973755,-3.38604998588562,-2.129284620285034,36919.0,42913.0,38559.0,40765.0,0,0,0,0,39798.99609375,-506.0,-2303.0,-2035.0
0.48,-0.18171125650405884,-0.013951187953352928,0.21251468360424042,0.0,0.0,0.0,-1.409907579421997,-2.14848256111145,-2.1482386589050293,35499.0,45271.0,39407.0,39143.0,0,0,0,0,40088.37109375,-2467.0,-4917.0,-2054.0
0.5,-0.16825689375400543,-0.013715891167521477,0.21971170604228973,0.0,0.0,0.0,-1.3931149244308472,-1.0205830335617065,-2.2260491847991943,37735.0,44661.0,38515.0,39837.0,0,0,0,0,40189.13671875,-1733.0,-4333.0,-2010.0
0.52,-0.15522347390651703,-0.013582536019384861,0.2271626591682434,0.0,0.0,0.0,-1.2631713151931763,0.17682866752147675,-2.2631428241729736,36310.0,45194.0,40134.0,39366.0,0,0,0,0,40038.65234375,-1498.0,-3269.0,-2381.0
0.54,-0.14212580025196075,-0.01370895653963089,0.23502328991889954,0.0,0.0,0.0,-1.090288519859314,1.3066253662109375,-2.2926244735717773,36894.0,44594.0,40622.0,38134.0,0,0,0,0,39775.55859375,-1980.0,-3548.0,-2018.0
0.56,-0.1290551871061325,-0.01420542597770691,0.24327552318572998,0.0,0.0,0.0,-0.9437204599380493,2.4126932621002197,-2.283643960952759,35994.0,44150.0,39594.0,39330.0,0,0,0,0,39779.17578125,-1122.0,-4780.0,-2011.0
0.58,-0.11659640818834305,-0.014193172566592693,0.25050368905067444,0.0,0.0,0.0,-0.8145052194595337,3.483886241912842,-2.290048122406006,37419.0,43311.0,39537.0,38645.0,0,0,0,0,39409.3671875,204.0,-2861.0,-2056.0
0.6,-0.10449712723493576,-0.014598285779356956,0.2587765157222748,0.0,0.0,0.0,-0.6876479983329773,4.525423049926758,-2.2724666595458984,36053.0,44201.0,38837.0,38529.0,0,0,0,0,39388.96484375,-914.0,-5005.0,-1925.0
0.62,-0.09207136183977127,-0.01460010465234518,0.26743587851524353,0.0,0.0,0.0,-0.6273307204246521,5.394065856933594,-2.287947177886963,35701.0,43371.0,38099.0,38721.0,0,0,0,0,38713.82421875,-1989.0,-2355.0,-2388.0
0.64,-0.08100678771734238,-0.01507390197366476,0.27526789903640747,0.0,0.0,0.0,-0.5628986954689026,6.202787399291992,-2.3135483264923096,36485.0,43363.0,37345.0,37895.0,0,0,0,0,38763.7734375,-1562.0,-4750.0,-1826.0
0.66,-0.0698002427816391,-0.01499177049845457,0.28263482451438904,0.0,0.0,0.0,-0.47063666582107544,6.914745330810547,-2.300865650177002,35074.0,40346.0,37650.0,39478.0,0,0,0,0,38042.16796875,-256.0,-2363.0,-1854.0
0.68,-0.05845625698566437,-0.014680498279631138,0.2928015887737274,0.0,0.0,0.0,-0.4001379907131195,7.546859264373779,-2.216372013092041,35107.0,42847.0,37285.0,37009.0,0,0,0,0,38029.015625,-547.0,-3767.0,-1927.0
0.7,-0.04825926572084427,-0.014424980618059635,0.3004422187805176,0.0,0.0,0.0,-0.36510422825813293,8.09009075164795,-2.1644158363342285,34875.0,42507.0,37621.0,37349.0,0,0,0,0,37961.95703125,-1862.0,-4697.0,-4087.0
0.72,-0.03993696719408035,-0.01561330072581768,0.3068749010562897,0.0,0.0,0.0,-0.2614704966545105,8.602543830871582,-2.2402243614196777,35428.0,42468.0,37418.0,38086.0,0,0,0,0,38451.765625,-2953.0,-4822.0,-1984.0
0.74,-0.03069368191063404,-0.015515095554292202,0.3136773109436035,0.0,0.0,0.0,-0.2172059416770935,8.986889839172363,-2.245576858520508,35165.0,44333.0,37931.0,36899.0,0,0,0,0,38427.3359375,-1498.0,-1802.0,-1980.0
0.76,-0.02168894000351429,-0.01536979153752327,0.32118940353393555,0.0,0.0,0.0,-0.16033969819545746,9.26123046875,-2.2529854774475098,35275.0,43101.0,37811.0,37949.0,0,0,0,0,38741.8984375,-1723.0,-1901.0,-3947.0
