time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,target.x,target.y,target.z,target.vx,target.vy,target.vz,target.ax,target.ay,target.az,target.roll,target.pitch,target.yaw,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
0.0,-0.00018227595137432218,-0.0013544480316340923,0.019480181857943535,0.0,0.0,0.0,-1.3625448942184448,-0.4038506746292114,-0.07164662331342697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28308.0,27506.0,28674.0,30364.0,0,0,0,0,28694.205078125,1987.0,531.0,-28.0
0.02,-0.00021436373936012387,-0.0014152174117043614,0.021051965653896332,0.0,0.0,0.0,-1.362604022026062,-0.403632789850235,-0.07329794019460678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27416.0,27964.0,29448.0,29828.0,0,0,0,0,28889.705078125,2298.0,1944.0,-217.0
0.04,-0.0002495107473805547,-0.0015107443323358893,0.021236538887023926,0.0,0.0,0.0,-1.3448843955993652,-0.3882618248462677,-0.08251889795064926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27817.0,27759.0,29307.0,30617.0,0,0,0,0,28873.65625,3167.0,-18.0,-307.0
0.06,-0.00018006535538006574,0.0008703188505023718,0.020053381100296974,0.0,0.0,0.0,-1.3882360458374023,-0.3753235638141632,-0.09996496886014938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28355.0,28021.0,28887.0,30109.0,0,0,0,0,28847.7109375,4072.0,1882.0,-223.0
0.08,0.0008279091562144458,0.0005801340448670089,0.020108114928007126,0.0,0.0,0.0,-1.3772246837615967,-0.39148062467575073,-0.13197359442710876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28640.0,27836.0,28378.0,29886.0,0,0,0,0,31214.1171875,2963.0,-424.0,-370.0
0.1,0.00205861940048635,-0.0002908248279709369,0.0209429319947958,0.0,0.0,0.0,-1.3354521989822388,-0.37872275710105896,-0.1477068066596985,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31852.0,31068.0,29070.0,32862.0,0,0,0,0,31230.828125,2506.0,1147.0,-852.0
0.12,0.0038954783231019974,-0.00018878142873290926,0.02106523886322975,0.0,0.0,0.0,-1.3329839706420898,-0.4157053828239441,-0.17554259300231934,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29632.0,31852.0,31726.0,32366.0,0,0,0,0,31424.732421875,2094.0,1354.0,-658.0
0.14,0.0019024291541427374,0.001015056623145938,0.020335616543889046,0.0,0.0,0.0,-1.3449058532714844,-0.3549935519695282,-0.2843480408191681,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28969.0,33101.0,31967.0,31715.0,0,0,0,0,31447.8359375,3926.0,4133.0,-621.0
0.16,0.0015997829614207149,0.0025392556563019753,0.020343970507383347,0.0,0.0,0.0,-1.3594669103622437,-0.3444231450557709,-0.3710371255874634,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30305.0,31075.0,31569.0,33139.0,0,0,0,0,31508.330078125,2568.0,-815.0,-562.0
0.18,0.0018322222167626023,0.002113061724230647,0.020223500207066536,0.0,0.0,0.0,-1.324763298034668,-0.3354121744632721,-0.4575675129890442,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29360.0,30914.0,32770.0,33248.0,0,0,0,0,34074.484375,6390.0,2698.0,-556.0
