time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,motor.m1,motor.m2,motor.m3,motor.m4,stabilizer.thrust,stabilizer.roll,stabilizer.pitch,stabilizer.yaw
0.0,0.0007342879544012249,0.0005450079333968461,0.02455700747668743,0.0,0.0,0.0,-0.6552806496620178,0.1477498561143875,1.7965391874313354,55285.0,51301.0,55707.0,54599.0,54223.10546875,-0.6418754458427429,0.14174120128154755,1.8075575828552246
0.02,0.0011433326872065663,-0.0001049760976457037,0.024315517395734787,0.0,0.0,0.0,-0.6609971523284912,0.15541541576385498,1.8029471635818481,56885.0,53375.0,55025.0,53179.0,54616.5703125,-0.6144300699234009,0.22555425763130188,1.805580735206604
0.04,0.00030409940518438816,-0.000633422052487731,0.024307046085596085,0.0,0.0,0.0,-0.6061607003211975,0.260903924703598,1.8030529022216797,53984.0,54288.0,58518.0,53238.0,55007.65625,-0.6677888631820679,0.32712045311927795,1.7956278324127197
0.06,7.20110911061056e-05,-0.00032741038012318313,0.025172889232635498,0.0,0.0,0.0,-0.607082724571228,0.45944496989250183,1.7961262464523315,54206.0,59780.0,57644.0,47486.0,54779.5078125,-0.4858391582965851,0.6690304279327393,1.7883847951889038
0.08,-0.0006624735542573035,-0.0013735430547967553,0.026405254378914833,0.0,0.0,0.0,-0.31079840660095215,0.9676308035850525,1.7654353380203247,50911.0,51335.0,57281.0,52553.0,53020.58984375,-0.11115353554487228,1.1696207523345947,1.7682286500930786
0.1,-0.0070263538509607315,-0.010408354923129082,0.02151688002049923,0.0,0.0,0.0,-0.032703667879104614,1.5579224824905396,1.7549468278884888,52657.0,56021.0,53057.0,44937.0,51668.609375,0.034385278820991516,1.8908381462097168,1.7641849517822266
0.12,-0.021090447902679443,-0.01236212719231844,0.025578254833817482,0.0,0.0,0.0,0.20115788280963898,2.2397351264953613,1.747897982597351,43238.0,47628.0,55996.0,47498.0,48590.703125,0.30945706367492676,2.3704276084899902,1.7441331148147583
0.14,-0.027081375941634178,-0.011857924982905388,0.020771576091647148,0.0,0.0,0.0,0.019744375720620155,2.3369786739349365,1.73378586769104,47555.0,44293.0,50563.0,49041.0,47863.19140625,-0.3746987283229828,2.224057197570801,1.7378876209259033
0.16,-0.02597975917160511,-0.012006771750748158,0.029941949993371964,0.0,0.0,0.0,-0.4480151832103729,1.574455738067627,1.7126985788345337,46227.0,47373.0,46143.0,40449.0,45048.859375,-0.68393874168396,0.9276081323623657,1.695062518119812
0.18,-0.015829071402549744,-0.004224472679197788,0.03693784773349762,0.0,0.0,0.0,-0.7390137314796448,0.3464168310165405,1.6768358945846558,44326.0,41552.0,44526.0,42640.0,43261.39453125,-0.83486008644104,0.2166423201560974,1.6744623184204102
0.2,-0.020574821159243584,-0.0027166290674358606,0.04841327294707298,0.0,0.0,0.0,-0.6667695641517639,-0.1359301656484604,1.6494187116622925,39821.0,41945.0,44841.0,38345.0,41238.9375,-0.6055976748466492,-0.16175223886966705,1.6280995607376099
0.221,-0.02004624903202057,-0.005820539779961109,0.0615212619304657,0.0,0.0,0.0,-0.4829719364643097,-0.5482504367828369,1.605852484703064,42001.0,39615.0,38951.0,36517.0,39271.66796875,-0.3715338408946991,-0.6261974573135376,1.6129642724990845
0.241,-0.01778813824057579,-0.0057968199253082275,0.07703584432601929,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,-0.32386747002601624,-0.9929671883583069,1.594414472579956,41439.0,36239.0,36661.0,37897.0,38059.31640625,-0.3294404149055481,-1.3010015487670898,1.576500654220581
0.26,-0.005213555414229631,0.0019387411884963512,0.09119356423616409,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,-0.19753599166870117,-1.5844857692718506,1.5557861328125,37559.0,37857.0,39299.0,34765.0,37370.94921875,-0.0878894105553627,-1.8113107681274414,1.5514652729034424
0.28,-0.005706372670829296,0.002170746913179755,0.113804891705513,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,-0.056761763989925385,-1.9398337602615356,1.5372077226638794,34514.0,35434.0,38438.0,33318.0,35426.9453125,-0.03144418075680733,-2.0729613304138184,1.5268635749816895
0.3,-0.005326675716787577,0.0026543536223471165,0.1282995641231537,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,-0.014927352778613567,-2.012721538543701,1.5204871892929077,35143.0,37295.0,37451.0,30951.0,35210.59375,0.03697545826435089,-1.914788842201233,1.5090259313583374
0.32,-0.0065744961611926556,0.0015862088184803724,0.1457003802061081,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.22143277525901794,-1.6313151121139526,1.4928643703460693,35146.0,36046.0,35928.0,31336.0,34614.796875,0.31155699491500854,-1.445956826210022,1.487988829612732
0.34,-0.007157550659030676,0.0010885074734687805,0.15963232517242432,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.43587031960487366,-1.2504799365997314,1.4670782089233398,37150.0,36734.0,34156.0,31024.0,34766.20703125,0.5508219599723816,-1.1510132551193237,1.4563546180725098
0.36,-0.007670809514820576,0.0007113174651749432,0.1759926825761795,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.6280133128166199,-0.9897856116294861,1.4217392206192017,33679.0,35447.0,37157.0,31809.0,34523.94921875,0.7028948068618774,-0.9011388421058655,1.395005464553833
0.38,-0.007937349379062653,0.0003242336097173393,0.18885546922683716,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.7063082456588745,-0.8363028764724731,1.3695788383483887,33921.0,36207.0,37505.0,32127.0,34940.26953125,0.715691089630127,-0.8056982755661011,1.353628396987915
0.4,-0.008290805853903294,-0.00043315303628332913,0.2036857157945633,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.6942443251609802,-0.8106715083122253,1.3201605081558228,34729.0,35155.0,36535.0,33241.0,34915.5234375,0.6458936333656311,-0.8104629516601562,1.2881437540054321
0.42,-0.009050292894244194,0.00027229980332776904,0.21532592177391052,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.5295508503913879,-0.8508614301681519,1.257207989692688,35493.0,34247.0,36663.0,35033.0,35359.19921875,0.42498669028282166,-0.8955367803573608,1.237656831741333
0.44,-0.008875476196408272,0.0009846482425928116,0.2262117713689804,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.3499417006969452,-0.9189467430114746,1.2063711881637573,37165.0,37541.0,35705.0,32481.0,35723.2890625,0.19678877294063568,-0.8213611245155334,1.1799277067184448
0.46,-0.011433972045779228,0.0032696675043553114,0.2371494024991989,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.18537205457687378,-0.8245552182197571,1.1593722105026245,34468.0,36684.0,39782.0,33922.0,36214.3515625,0.18469727039337158,-0.8097184300422668,1.1591801643371582
0.48,-0.012036815285682678,0.0031910629477351904,0.24665698409080505,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.1927463710308075,-0.8063620328903198,1.1430453062057495,37842.0,37662.0,37076.0,34296.0,36719.4765625,0.20777566730976105,-0.8123061656951904,1.1373299360275269
0.5,-0.012371709570288658,0.0038757992442697287,0.25647568702697754,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.19536419212818146,-0.8304312825202942,1.1180236339569092,38337.0,36735.0,37733.0,35255.0,37015.5,0.34901684522628784,-0.905289888381958,1.1266404390335083
0.52,-0.010293994098901749,0.0006993922288529575,0.26481202244758606,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.38862302899360657,-0.9345197677612305,1.1150972843170166,39388.0,36462.0,37104.0,36814.0,37442.57421875,0.43747374415397644,-0.9612289071083069,1.115161418914795
0.54,-0.010507721453905106,0.00021256673790048808,0.2739141583442688,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.467475950717926,-0.9983007311820984,1.102237343788147,38888.0,37678.0,38118.0,35780.0,37616.4296875,0.4732833206653595,-1.0162361860275269,1.1071830987930298
0.56,-0.010850572027266026,-0.00034199058427475393,0.2812756597995758,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.4423603117465973,-1.0093421936035156,1.098434329032898,37544.0,38430.0,40554.0,35412.0,37985.03515625,0.3855350613594055,-0.9899216890335083,1.1052663326263428
0.58,-0.010163564234972,-0.001182764070108533,0.2878475785255432,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.3530980348587036,-0.9758177399635315,1.1029090881347656,38542.0,39694.0,39954.0,35274.0,38366.44140625,0.3521847426891327,-0.9433282613754272,1.1151901483535767
0.6,-0.011003217659890652,-0.002905810484662652,0.294294536113739,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.3120291829109192,-0.8936405181884766,1.108735203742981,38438.0,40240.0,40458.0,35372.0,38627.6953125,0.29437151551246643,-0.8849247097969055,1.1180466413497925
0.62,-0.010850038379430771,-0.0036072335205972195,0.3025840222835541,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.2491104006767273,-0.8607017397880554,1.1145907640457153,40259.0,38305.0,38451.0,36809.0,38456.2109375,0.17293019592761993,-0.8402911424636841,1.1286895275115967
0.64,-0.01065890584141016,-0.004618016537278891,0.3085803985595703,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,0.09472233802080154,-0.8384820222854614,1.1222858428955078,40644.0,38910.0,38414.0,36648.0,38654.67578125,-0.016601376235485077,-0.8091975450515747,1.1312463283538818
0.66,-0.009957368485629559,-0.00522743770852685,0.31429266929626465,-0.004259634297341108,0.0015661343932151794,0.08559323847293854,-0.07986832410097122,-0.797305703163147,1.1233404874801636,39776.0,39360.0,39966.0,35906.0,38752.0625,-0.12411973625421524,-0.7761099934577942,1.1321556568145752
0.681,-0.00998438335955143,-0.005549699068069458,0.32005152106285095,-0.010239791125059128,-0.0007649088511243463,0.3263245224952698,-0.14733576774597168,-0.7657701373100281,1.1329913139343262,41192.0,38920.0,38688.0,36756.0,38889.8671875,-0.19799870252609253,-0.7336033582687378,1.148230791091919
0.7,-0.009847830981016159,-0.0034566237591207027,0.32549038529396057,-0.010239791125059128,-0.0007649088511243463,0.3263245224952698,-0.23551629483699799,-0.7131029963493347,1.1477956771850586,40873.0,38145.0,39011.0,38063.0,39023.53515625,-0.24519047141075134,-0.678141176700592,1.144404411315918
